error,latency_s,num_contexts,answerable,expected_answerable,difficulty,category,id,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
,0.027406799999880604,1,False,True,easy,exact_lookup,GT_001,Điểm d khoản 1 Điều 6 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Cơ sở dữ liệu thanh toán điện tử giao thông đường bộ
Cơ sở dữ liệu thanh toán điện tử giao thông đường bộ
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 6 - Khoản 1 - Điểm d",0.2,0.0,0.0,0.0,0.10457932740176293
,0.022848800000247138,1,False,True,easy,exact_lookup,GT_002,Điểm a khoản 1 Điều 8 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Quốc lộ là đường nối liền Thủ đô Hà Nội với trung tâm hành chính cấp tỉnh; đường nối liền các trung tâm hành chính cấp tỉnh; đường có vị trí quan trọng đối với sự phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh của vùng, khu vực
Quốc lộ là đường nối liền Thủ đô Hà Nội với trung tâm hành chính cấp tỉnh; đường nối liền các trung tâm hành chính cấp tỉnh; đường có vị trí quan trọng đối với sự phát triển kinh tế - xã hội, bảo đảm quốc phòng, an ninh của vùng, khu vực
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 8 - Khoản 1 - Điểm a",0.2,0.0,0.0,0.0,0.07894282953323195
,0.021362600000429666,1,False,True,easy,exact_lookup,GT_003,Điểm a khoản 2 Điều 10 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Đường cao tốc
Đường cao tốc
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 10 - Khoản 2 - Điểm a",0.5,0.0,0.0,0.0,0.07051552728789265
,0.02046420000078797,1,False,True,medium,exact_lookup,GT_004,Khoản 3 Điều 11 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Không bắt buộc đặt tên, số hiệu đường bộ đối với đường xã, đường thôn, đường nội bộ, đường chuyên dùng; không bắt buộc đổi tên, số hiệu đường bộ trong trường hợp đường đó đi qua địa bàn được cấp có thẩm quyền quyết định giải thể, nhập, chia, điều chỉnh địa giới hành chính của địa phương.
Không bắt buộc đặt tên, số hiệu đường bộ đối với đường xã, đường thôn, đường nội bộ, đường chuyên dùng; không bắt buộc đổi tên, số hiệu đường bộ trong trường hợp đường đó đi qua địa bàn được cấp có thẩm quyền quyết định giải thể, nhập, chia, điều chỉnh địa giới hành chính của địa phương.
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 11 - Khoản 3",0.5,0.0,0.0,0.0,0.08994459457738094
,0.02192789999935485,1,False,True,medium,exact_lookup,GT_005,Khoản 3 Điều 12 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Tỷ lệ đất dành cho giao thông trên đất xây dựng đô thị đạt từ 11% đến 26%, phù hợp với tiêu chuẩn về trình độ phát triển cơ sở hạ tầng và kiến trúc cảnh quan khu vực nội thành, nội thị của từng loại đô thị theo quy định của pháp luật về quy hoạch đô thị và quy định khác của pháp luật có liên quan.
Tỷ lệ đất dành cho giao thông trên đất xây dựng đô thị đạt từ 11% đến 26%, phù hợp với tiêu chuẩn về trình độ phát triển cơ sở hạ tầng và kiến trúc cảnh quan khu vực nội thành, nội thị của từng loại đô thị theo quy định của pháp luật về quy hoạch đô thị và quy định khác của pháp luật có liên quan.
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 12 - Khoản 3",0.5,0.0,0.0,0.0,0.07816222091573208
,0.02198839999982738,1,False,True,easy,exact_lookup,GT_006,Điểm c khoản 1 Điều 13 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Hành lang an toàn đường bộ
Hành lang an toàn đường bộ
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 13 - Khoản 1 - Điểm c",0.2,0.0,0.0,0.0,0.07520186176011343
,0.02220000000033906,1,False,True,easy,exact_lookup,GT_007,Điểm e khoản 1 Điều 15 35/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Đối với đường thôn, đường ngõ, ngách, kiệt, hẻm trong đô thị và đường khác không cho xe ô tô di chuyển thì không bắt buộc bố trí hành lang an toàn đường bộ
Đối với đường thôn, đường ngõ, ngách, kiệt, hẻm trong đô thị và đường khác không cho xe ô tô di chuyển thì không bắt buộc bố trí hành lang an toàn đường bộ
Căn cứ kỳ vọng: 35/2024/QH15 - Điều 15 - Khoản 1 - Điểm e",0.2,0.0,0.0,0.0,0.08073593875073297
,0.021264099999825703,1,False,True,easy,exact_lookup,GT_008,Điểm a khoản 1 Điều 7 36/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Cơ sở dữ liệu về đăng ký, quản lý xe cơ giới, xe máy chuyên dùng
Cơ sở dữ liệu về đăng ký, quản lý xe cơ giới, xe máy chuyên dùng
Căn cứ kỳ vọng: 36/2024/QH15 - Điều 7 - Khoản 1 - Điểm a",0.2,0.0,0.0,0.0,0.11741124744267557
,0.022555499999725726,1,False,True,medium,exact_lookup,GT_009,Khoản 2 Điều 9 36/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn.
Điều khiển phương tiện tham gia giao thông đường bộ mà trong máu hoặc hơi thở có nồng độ cồn.
Căn cứ kỳ vọng: 36/2024/QH15 - Điều 9 - Khoản 2",0.5,0.0,0.0,0.0,0.09609889279778835
,0.020918199999869103,1,False,True,easy,exact_lookup,GT_010,Điểm a khoản 2 Điều 11 36/2024/QH15 quy định gì?,['Không có context/citation được hệ thống trả về.'],"Tôi chưa đủ căn cứ trong bộ dữ liệu hiện tại để trả lời chính xác. Bạn có thể nêu rõ văn bản, điều khoản, loại phương tiện hoặc ngày xảy ra hành vi.","Hiệu lệnh của người điều khiển giao thông
Hiệu lệnh của người điều khiển giao thông
Căn cứ kỳ vọng: 36/2024/QH15 - Điều 11 - Khoản 2 - Điểm a",0.2,0.0,0.0,0.0,0.09411155780954045
